Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,получение средств,964.27,наличный,Гродно,Белинвестбанк-DZFR-513,15-04-2000,20:03:24,успешно,нет,0.0
физ. лицо,списание средств,187.14,наличный,Гродно,Белинвестбанк-GMYC-386,28-12-2002,11:18:46,недостаточно средств,нет,0.0
юр. лицо,списание средств,2637.24,безналичный,Минск,Приорбанк-YSIO-802,16-02-2006,07:40:49,неправильный ввод пин-кода,да,26.85
физ. лицо,получение средств,2105.43,наличный,Витебск,Белинвестбанк-WQEK-685,16-01-2003,06:27:03,успешно,нет,0.0
юр. лицо,получение средств,4344.96,наличный,Брест,БелАгропромбанк-IYSJ-145,05-01-2014,15:49:30,успешно,нет,0.0
физ. лицо,списание средств,1431.94,наличный,Гомель,МаксБанк-AKNG-276,27-11-2003,22:24:26,успешно,да,24.28
юр. лицо,получение средств,3432.62,безналичный,Брест,МаксБанк-ASGJ-967,28-01-2005,02:16:13,успешно,нет,0.0
физ. лицо,списание средств,2227.81,безналичный,Гомель,БелАгропромбанк-OTPO-665,16-12-2023,06:11:03,успешно,да,54.58
физ. лицо,списание средств,3497.55,наличный,Брест,Белинвестбанк-JLIO-259,29-12-2018,22:11:13,успешно,да,329.35
физ. лицо,получение средств,393.41,безналичный,Гродно,МаксБанк-ABDF-056,16-08-2022,07:28:05,успешно,нет,0.0
физ. лицо,списание средств,654.92,безналичный,Гомель,Приорбанк-IDZG-799,22-09-2022,16:41:19,успешно,да,45.52
физ. лицо,получение средств,2223.55,наличный,Минск,Белинвестбанк-HOXG-693,11-07-2008,11:26:17,успешно,нет,0.0
физ. лицо,получение средств,3779.6,наличный,Минск,Приорбанк-IYON-133,10-05-2017,03:27:11,успешно,нет,0.0
юр. лицо,списание средств,1654.48,безналичный,Брест,Белинвестбанк-YFEV-206,14-03-2017,03:50:20,успешно,да,131.62
физ. лицо,списание средств,2771.43,наличный,Могилев,БелАгропромбанк-LGRH-930,02-06-2004,03:42:13,недостаточно средств,нет,0.0
физ. лицо,получение средств,3445.86,наличный,Витебск,Приорбанк-BALI-776,12-10-2021,06:58:47,успешно,нет,0.0
юр. лицо,списание средств,3410.53,безналичный,Могилев,МаксБанк-XWPJ-333,06-03-2007,20:04:17,недостаточно средств,да,77.81
юр. лицо,списание средств,4204.83,наличный,Витебск,Приорбанк-UXCT-971,07-03-2016,11:44:56,недостаточно средств,да,61.09
физ. лицо,списание средств,1004.82,наличный,Гомель,Белинвестбанк-WKJS-426,07-06-2000,14:02:17,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2580.14,безналичный,Брест,БелАгропромбанк-GQRC-064,14-07-2008,15:42:14,неправильный ввод пин-кода,да,206.41
физ. лицо,списание средств,3510.07,наличный,Гомель,Приорбанк-FSFL-389,08-09-2016,01:13:17,успешно,да,279.78
физ. лицо,получение средств,2968.0,наличный,Гомель,Белинвестбанк-MWEN-531,24-09-2016,03:47:33,успешно,нет,0.0
физ. лицо,списание средств,4212.73,безналичный,Минск,МаксБанк-HHDU-141,14-01-2002,02:09:30,успешно,да,411.44
физ. лицо,списание средств,4036.04,безналичный,Гомель,БелАгропромбанк-AGWK-727,15-09-2019,01:50:38,успешно,нет,0.0
физ. лицо,списание средств,1554.65,безналичный,Минск,Приорбанк-LVPL-820,29-08-2000,14:02:43,успешно,да,111.2
юр. лицо,списание средств,1399.67,безналичный,Витебск,Беларусбанк-XEEW-687,02-04-2013,06:08:09,успешно,нет,0.0
юр. лицо,получение средств,2911.57,наличный,Брест,Беларусбанк-PNFI-423,29-12-2002,00:28:28,успешно,нет,0.0
физ. лицо,получение средств,3474.62,наличный,Витебск,Беларусбанк-ZJAE-680,25-12-2007,17:51:45,успешно,нет,0.0
юр. лицо,списание средств,2572.52,безналичный,Брест,Беларусбанк-PYCP-085,28-08-2019,09:03:19,успешно,нет,0.0
